	1B	1N	2B	2N	3B	3N	4B	4N	5B	5N	6B	6N	7B	7N	8B	8N	
isogroup100009_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	
isogroup100014_g1	0	0	0	0	0	1	0	0	0	0	0	0	2	2	1	0	
isogroup100015_g1	2	2	0	2	0	6	0	0	0	0	0	2	1	0	9	0	
isogroup100020_g1	0	0	0	0	0	0	0	0	1	1	0	2	0	0	2	0	
isogroup10002_g1	0	2	1	0	0	0	1	0	0	2	0	1	0	1	6	3	
isogroup10003_g1	83	58	0	0	0	5	3	0	2	3	1	3	2	4	4	1	
isogroup100040_g1	0	2	0	0	0	0	0	0	2	2	0	0	0	0	2	2	
isogroup100052_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	
isogroup100134_g1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
isogroup100184_g1	0	0	3	4	0	2	1	0	1	2	1	1	0	2	7	1	
isogroup100242_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
isogroup100251_g1	0	7	0	0	0	0	0	0	0	0	0	0	1	1	0	1	
isogroup100252_g1	0	0	1	0	0	2	0	0	0	0	0	2	0	1	4	2	
isogroup100257_g1	6	6	2	1	3	6	0	0	2	3	0	0	35	4	43	5	
isogroup10025_g1	4	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	
isogroup100335_g1	1	2	1	0	0	0	0	0	0	1	0	1	0	1	3	1	
isogroup10034_g1	2	4	0	0	0	0	0	0	0	0	1	0	13	8	8	4	
isogroup100397_g1	2	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	
isogroup10040_g1	13	20	7	4	4	8	1	0	4	10	0	5	16	11	62	21	
isogroup100473_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
isogroup100479_g1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	
isogroup100491_g1	6	16	5	1	4	7	3	0	3	3	4	12	7	3	32	13	
isogroup100494_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	
isogroup100516_g1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	
isogroup100536_g1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
isogroup100577_g1	0	1	1	0	1	0	0	0	2	0	1	0	6	0	9	0	
isogroup100584_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
isogroup100641_g1	2	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	
isogroup100647_g1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	12	0	
isogroup100692_g1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	
isogroup100699_g1	2	1	0	0	0	0	0	0	0	2	0	0	0	0	8	1	
isogroup100729_g1	1	4	0	0	0	0	0	0	0	0	0	0	2	1	0	1	
isogroup100733_g1	13	12	3	0	0	0	1	0	1	6	1	16	2	1	38	6	
isogroup100757_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	
isogroup100770_g1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	
isogroup1007_g1	0	0	2	0	0	0	0	0	0	0	1	1	3	1	0	2	
isogroup100802_g1	1	0	0	0	0	0	0	0	0	1	0	2	2	0	7	0	
isogroup100820_g1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
isogroup100823_g1	4	2	0	0	0	0	0	0	0	0	0	1	1	1	2	0	
isogroup100842_g1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
isogroup100863_g1	0	0	0	0	0	2	0	0	0	0	1	1	1	0	1	0	
isogroup100911_g1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	3	0	
isogroup100935_g1	2	3	8	0	3	3	0	0	4	4	2	7	20	6	40	7	
isogroup100954_g1	0	1	0	0	0	1	0	0	0	0	0	0	1	1	1	0	
isogroup100960_g1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	
isogroup100973_g1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0	
isogroup10098_g2	20	33	16	4	13	11	7	0	20	26	8	41	53	26	72	12	
isogroup10100_g1	4	5	0	1	0	1	0	0	2	2	0	1	3	3	12	5	
isogroup10102_g1	1	2	0	0	0	0	0	0	0	0	0	1	2	1	3	0	
isogroup101051_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	
isogroup101060_g1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	
isogroup101079_g1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	16	4	
isogroup10114_g1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	6	2	
isogroup101168_g1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	
isogroup101194_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
isogroup101245_g1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	18	4	
isogroup101247_g1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	10	0	
isogroup101249_g1	0	1	0	0	0	0	0	0	0	2	0	1	4	2	4	1	
isogroup101311_g1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup10132_g1	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	
isogroup101357_g1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	3	0	
isogroup10140_g1	6	7	0	2	1	4	5	1	7	7	2	6	13	11	56	10	
isogroup10144_g1	0	1	0	0	2	1	0	0	0	0	0	0	0	3	2	2	
isogroup101450_g1	1	1	0	0	1	1	0	0	6	1	2	1	4	0	10	2	
isogroup101454_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	
isogroup101465_g1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup10148_g1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	
isogroup10155_g1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	
isogroup101604_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
isogroup101606_g1	0	1	0	0	0	0	0	0	1	1	0	1	0	0	1	0	
isogroup101610_g1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	
isogroup101647_g1	1	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	
isogroup10165_g1	38	55	21	14	1	0	3	1	11	15	4	32	140	79	445	125	
isogroup101664_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
isogroup10170_g1	2	3	3	1	0	2	0	0	3	0	0	3	6	1	11	4	
isogroup10172_g1	0	1	1	0	1	3	0	0	2	3	4	0	5	6	1	0	
isogroup101775_g1	6	3	0	0	0	0	1	0	0	0	0	1	2	5	22	3	
isogroup101786_g1	0	0	0	0	0	1	0	0	1	0	0	1	2	1	12	0	
isogroup10179_g1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	
isogroup101810_g1	3	5	3	0	1	0	0	0	0	2	0	2	7	4	20	5	
isogroup101823_g1	2	6	1	0	2	3	0	0	3	4	5	8	13	7	29	2	
isogroup101838_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
isogroup101850_g1	1	1	0	0	0	0	0	0	1	0	0	2	0	0	1	0	
isogroup10187_g1	0	1	0	0	1	1	0	0	0	1	0	1	0	0	1	0	
isogroup101940_g1	59	84	36	22	9	38	0	0	10	31	3	78	87	91	224	83	
isogroup101966_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
isogroup102050_g1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	2	0	
isogroup10209_g1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	2	
isogroup102113_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
isogroup10218_g1	31	52	16	10	9	39	6	0	20	24	8	36	73	51	233	59	
isogroup1021_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	
isogroup102210_g1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	
isogroup102238_g1	2	1	0	0	0	0	0	0	0	0	0	0	3	2	3	0	
isogroup102245_g1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	
isogroup102262_g1	0	0	1	0	0	0	0	0	1	0	0	0	2	0	1	0	
isogroup102293_g1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	
isogroup10231_g1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	1	
isogroup102359_g1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	3	0	
isogroup1023_g2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
isogroup102507_g1	1	1	0	0	0	0	0	0	2	0	0	1	1	1	1	0	
isogroup10251_g1	0	0	0	1	0	0	0	0	0	0	0	0	4	4	2	0	
isogroup102535_g1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	
isogroup102615_g1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	4	0	
isogroup102631_g1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup102660_g1	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	
isogroup102717_g1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	
isogroup10277_g1	0	0	1	0	0	2	0	0	1	0	0	0	2	1	13	2	
isogroup102804_g1	4	1	0	0	0	0	0	0	0	0	0	0	2	1	7	0	
isogroup10280_g1	0	1	2	1	0	1	0	0	0	0	0	0	8	4	7	1	
isogroup102830_g1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
isogroup102848_g1	8	8	0	0	0	0	1	0	0	3	0	4	3	4	32	3	
